ConstituentID,DisplayName,candidats_scores_wikidata,date_naissance,Lieu_naissance,date_mort,Lieu_mort,Roles 1,Roles 2,Roles 3,Roles 4,Roles 5,Nationalite 1,Nationalite 2,Nationalite 3,Nationalite 4,Nationalite 5,Domaines_activite 1,Domaines_activite 2,Domaines_activite 3,Domaines_activite 4,Domaines_activite 5
20003,Pinard,"{candidats : [('Q109314895', 77.7777777778), ('Q3174027', 61.6666666667), ('Q3426741', 61.6666666667), ('Q3591313', 61.6666666667), ('Q21634568', 61.6666666667), ('Q3357023', 59.4444444444), ('Q67155203', 59.4444444444), ('Q3057136', 57.2222222222), ('Q3185492', 57.2222222222), ('Q3386620', 57.2222222222), ('Q16196217', 57.2222222222), ('Q42038326', 57.2222222222), ('Q365798', 55.5555555556), ('Q3592789', 55.5555555556), ('Q115262593', 55.5555555556), ('Q3263931', 54.2222222222), ('Q2839937', 53.8888888889), ('Q15728634', 53.8888888889), ('Q99457161', 52.7777777778), ('Q125501035', 52.7777777778), ('Q2361540', 50.5555555556), ('Q3437481', 50.5555555556), ('Q2825240', 46.1111111111), ('Q2977975', 46.1111111111), ('Q3014552', 46.1111111111)]}",,,,,,,,,,France,,,,,sculpture,,,,
19290,Miquel Oslé i Sáenz de Medrano,"{candidats : [('Q9033503', 86.6666666667)]}",1879,Barcelone,1959,,,,,,,Espagne,,,,,sculpture,,,,
20332,Alexander Phimister Proctor,"{candidats : [('Q4719845', 78.4210526316)]}",1860,Bozanquit,1950,Los Angeles,,,,,,Etats-Unis,,,,,peinture,sculpture,,,
19543,Isabelle Pasquier,"{candidats : [('Q74429417', 45.2), ('Q133642823', 30.6666666667), ('Q75325335', 22.6666666667), ('Q78060896', 21.8)]}",1867,Paris,,,,,,,,France,,,,,peinture,arts décoratifs,,,
19554,Louis Pastour,"{candidats : [('Q3262848', 86.3157894737), ('Q3263544', 34.2105263158)]}",1876,Cannes,1948,Cannes,Artiste,,,,,France,,,,,peinture,,,,
19564,Pedro Patino Carrizosa,,1829,,,,,,,,,Mexique,,,,,sculpture,,,,
19565,Numa Patlayeau,,,,,,,,,,,France,,,,,sculpture,,,,
19623,Charles Peccatte,"{candidats : [('Q2959959', 78.9473684211), ('Q5081562', 26.3157894737)]}",1870,Baccarat,1962,Saint-Dié-des-Vosges,,,,,,France,,,,,peinture,arts décoratifs,,,
19632,Henri Pécou,"{candidats : [('Q30216567', 58.8461538462)]}",1854,Bordeaux,,,,,,,,France,,,,,sculpture,,,,
20425,Joseph Auguste Pelabon,"{candidats : [('Q134289301', 76.4705882353)]}",1863,Toulon,1932,Toulon,,,,,,France,,,,,peinture,,,,
20505,Abel Ragot,,1860,Allemans-du-Drot,1904,,,,,,,France,,,,,peinture,,,,
19713,Albert Joseph Penot,"{candidats : [('Q4710598', 78.2941176471)]}",1862,Xermaménil,1930,,,,,,,France,,,,,peinture,photographie,,,
19793,Roland Hinton Perry,"{candidats : [('Q7360271', 86.6666666667)]}",1870,New York,1941,,,,,,,Etats-Unis,,,,,sculpture,,,,
20745,Jean-Baptiste Révillon,"{candidats : [('Q22212705', 88.2352941176)]}",1819,Paris,1869,Paris,,,,,,France,,,,,sculpture,,,,
20767,Gustave Reynier,"{candidats : [('Q7905939', 46.6666666667)]}",1856,Paris,1935,,,,,,,France,,,,,peinture,,,,
20779,A. Rib,"{candidats : [('Q768127', 73.0), ('Q21388062', 52.5555555556), ('Q2844838', 48.7777777778), ('Q57878880', 48.7777777778), ('Q22104555', 46.1111111111), ('Q58218528', 46.1111111111), ('Q651352', 42.7777777778), ('Q2090922', 42.7777777778), ('Q7322203', 42.7777777778), ('Q1887394', 39.4444444444), ('Q89820076', 39.4444444444), ('Q106253841', 37.2222222222), ('Q1570804', 34.4444444444), ('Q62913628', 34.4444444444), ('Q12330', 29.4444444444), ('Q15555', 25.0), ('Q130367004', 16.6666666667)]}",,,,,,,,,,Allemagne,,,,,sculpture,,,,
20955,Eloi Robert,,1881,Guichen,1949,,,,,,,France,,,,,sculpture,,,,
20970,Tony Robert-Fleury,"{candidats : [('Q384078', 77.9047619048)]}",1837,Paris,1911,Paris (9e arrondissement),Artiste,,,,,France,,,,,peinture,sculpture,,,
20189,D. H. Ponchon,,,,,,,,,,,France,,,,,sculpture,,,,
20224,Henriette Porson,"{candidats : [('Q108783489', 73.3333333333)]}",1874,Nantes,,,,,,,,France,,,,,sculpture,arts décoratifs,,,
20296,Edouard Preiser,"{candidats : [('Q61998254', 69.2307692308)]}",1877,Strasbourg,,,,,,,,France,,,,,sculpture,,,,
20986,Boardman Robinson,"{candidats : [('Q4395132', 56.9523809524), ('Q75561945', 18.0952380952)]}",1876,Somerset,1952,Colorado Springs,,,,,,Canada,Etats-Unis,,,,sculpture,peinture,,,
21014,Robert Henry Rockwell,"{candidats : [('Q131705833', 55.5555555556)]}",,,,,,,,,,Etats-Unis,,,,,sculpture,,,,
21052,Louis Roguet,"{candidats : [('Q3263041', 88.2352941176)]}",1824,Saint-Junien,1850,Rome,,,,,,France,,,,,sculpture,,,,
21111,Ellen Mary Rope,"{candidats : [('Q18819422', 74.9411764706)]}",1855,Blaxhall,1934,,,,,,,Royaume-Uni,,,,,sculpture,arts décoratifs,,,
21115,Louis Rorimer,"{candidats : [('Q46849740', 74.5263157895)]}",1872,Cleveland,1939,Cleveland,,,,,,Etats-Unis,,,,,sculpture,arts décoratifs,,,
